"lakeID","PE","densityShoreline","efCPE","densityAreal"
"AR",2334.727273,695.2810584,38.5051235684147,6017.33833247423
"BY",867.733333333333,250.106267469632,20.5970149253731,1898.76002917578
"FD",1872,294.245714,17.3220883534137,NA
"HT",583,117.584566760916,5.33333333333333,823.446327683616
"JS",640,180.4872553,25.0659340659341,1860.46511627907
"LC",934,198.9850987,6.91666666666667,1506.45161290323
"LH",233.3333333,99.32705789,4.89188034188034,948.50948495935
"LR",918.6,126.2580423,12.0057971014493,1018.40354767184
"SV",352.7,163.898334269397,7.80373831775701,1526.83982683983
"TO",1066.75,174.3309509,8.55764411027569,1894.76021314387
"UG",2408.80952380952,254.09149800413,10,1644.23858280513
"WB",815.222222222222,206.682417836544,6.75675675675676,1783.85606613178
"WC",674,83.72583692,3.73333333333333,568.296795952783
